metric	value	alignment
alignment_length	132	OG0000035.alignment.cds.fa
alignment_length_no_gaps	129	OG0000035.alignment.cds.fa
average_pairwise_identity	0.7697	OG0000035.alignment.cds.fa
parsimony_informative_sites	18	OG0000035.alignment.cds.fa
variable_sites	51	OG0000035.alignment.cds.fa
alignment_length	852	OG0000050.alignment.cds.fa
alignment_length_no_gaps	648	OG0000050.alignment.cds.fa
average_pairwise_identity	0.6191	OG0000050.alignment.cds.fa
parsimony_informative_sites	217	OG0000050.alignment.cds.fa
variable_sites	499	OG0000050.alignment.cds.fa
alignment_length	510	OG0000071.alignment.cds.fa
alignment_length_no_gaps	498	OG0000071.alignment.cds.fa
average_pairwise_identity	0.802	OG0000071.alignment.cds.fa
parsimony_informative_sites	30	OG0000071.alignment.cds.fa
variable_sites	159	OG0000071.alignment.cds.fa
alignment_length	342	OG0000014.alignment.cds.fa
alignment_length_no_gaps	231	OG0000014.alignment.cds.fa
average_pairwise_identity	0.5751	OG0000014.alignment.cds.fa
parsimony_informative_sites	52	OG0000014.alignment.cds.fa
variable_sites	191	OG0000014.alignment.cds.fa
alignment_length	108	OG0000065.alignment.cds.fa
alignment_length_no_gaps	96	OG0000065.alignment.cds.fa
average_pairwise_identity	0.7105	OG0000065.alignment.cds.fa
parsimony_informative_sites	23	OG0000065.alignment.cds.fa
variable_sites	51	OG0000065.alignment.cds.fa
alignment_length	1461	OG0000021.alignment.cds.fa
alignment_length_no_gaps	1383	OG0000021.alignment.cds.fa
average_pairwise_identity	0.8098	OG0000021.alignment.cds.fa
parsimony_informative_sites	116	OG0000021.alignment.cds.fa
variable_sites	382	OG0000021.alignment.cds.fa
alignment_length	558	OG0000044.alignment.cds.fa
alignment_length_no_gaps	537	OG0000044.alignment.cds.fa
average_pairwise_identity	0.687	OG0000044.alignment.cds.fa
parsimony_informative_sites	56	OG0000044.alignment.cds.fa
variable_sites	270	OG0000044.alignment.cds.fa
alignment_length	2259	OG0000025.alignment.cds.fa
alignment_length_no_gaps	2238	OG0000025.alignment.cds.fa
average_pairwise_identity	0.8223	OG0000025.alignment.cds.fa
parsimony_informative_sites	321	OG0000025.alignment.cds.fa
variable_sites	708	OG0000025.alignment.cds.fa
alignment_length	2646	OG0000040.alignment.cds.fa
alignment_length_no_gaps	1590	OG0000040.alignment.cds.fa
average_pairwise_identity	0.5133	OG0000040.alignment.cds.fa
parsimony_informative_sites	236	OG0000040.alignment.cds.fa
variable_sites	1320	OG0000040.alignment.cds.fa
alignment_length	843	OG0000061.alignment.cds.fa
alignment_length_no_gaps	612	OG0000061.alignment.cds.fa
average_pairwise_identity	0.583	OG0000061.alignment.cds.fa
parsimony_informative_sites	55	OG0000061.alignment.cds.fa
variable_sites	401	OG0000061.alignment.cds.fa
